## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/alignment/NIST7035_sorted.bam --OUTPUT results/alignment/NIST7035_markdup.bam --METRICS_FILE results/alignment/marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 28 12:36:10 UTC 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
LIB1	265	19095389	12613	1239	64	1169154	1256	0.061228	149654567

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000062	16944779	0	16945914
2.0	1.880324	866828	1254	865798
3.0	2.655139	84605	1	84514
4.0	3.337138	17145	0	17131
5.0	3.937439	5742	0	5743
6.0	4.465829	2596	0	2596
7.0	4.930922	1346	0	1345
8.0	5.340302	864	0	864
9.0	5.700641	543	0	543
10.0	6.017814	376	0	376
11.0	6.296993	286	0	286
12.0	6.542729	184	0	184
13.0	6.759027	165	0	165
14.0	6.949415	94	0	94
15.0	7.116996	96	0	96
16.0	7.264502	81	0	81
17.0	7.394339	71	0	71
18.0	7.508622	50	0	50
19.0	7.609215	53	0	53
20.0	7.697757	37	0	37
21.0	7.775693	40	0	40
22.0	7.844293	33	0	33
23.0	7.904675	24	0	24
24.0	7.957824	15	0	15
25.0	8.004607	13	0	13
26.0	8.045785	9	0	9
27.0	8.08203	14	0	14
28.0	8.113933	7	0	7
29.0	8.142015	7	0	7
30.0	8.166733	5	0	5
31.0	8.18849	10	0	10
32.0	8.20764	9	0	9
33.0	8.224496	7	0	7
34.0	8.239334	7	0	7
35.0	8.252393	4	0	4
36.0	8.263889	5	0	5
37.0	8.274007	1	0	1
38.0	8.282913	5	0	5
39.0	8.290753	3	0	3
40.0	8.297653	4	0	4
41.0	8.303726	5	0	5
42.0	8.309073	2	0	2
43.0	8.313778	1	0	1
44.0	8.31792	3	0	3
45.0	8.321566	2	0	2
46.0	8.324775	3	0	3
47.0	8.3276	6	0	6
48.0	8.330086	5	0	5
49.0	8.332274	7	0	7
50.0	8.334201	3	0	3
51.0	8.335896	2	0	2
52.0	8.337389	2	0	2
53.0	8.338702	5	0	5
54.0	8.339858	5	0	5
55.0	8.340876	0	0	0
56.0	8.341772	0	0	0
57.0	8.342561	0	0	0
58.0	8.343255	1	0	1
59.0	8.343866	0	0	0
60.0	8.344403	1	0	1
61.0	8.344877	0	0	0
62.0	8.345293	2	0	2
63.0	8.34566	2	0	2
64.0	8.345983	0	0	0
65.0	8.346267	1	0	1
66.0	8.346517	0	0	0
67.0	8.346737	0	0	0
68.0	8.346931	0	0	0
69.0	8.347101	0	0	0
70.0	8.347252	2	0	2
71.0	8.347384	1	0	1
72.0	8.3475	0	0	0
73.0	8.347602	0	0	0
74.0	8.347693	1	0	1
75.0	8.347772	0	0	0
76.0	8.347842	0	0	0
77.0	8.347903	2	0	2
78.0	8.347957	0	0	0
79.0	8.348005	0	0	0
80.0	8.348047	1	0	1
81.0	8.348084	1	0	1
82.0	8.348116	0	0	0
83.0	8.348145	1	0	1
84.0	8.34817	1	0	1
85.0	8.348192	0	0	0
86.0	8.348211	0	0	0
87.0	8.348229	0	0	0
88.0	8.348244	0	0	0
89.0	8.348257	1	0	1
90.0	8.348269	0	0	0
91.0	8.348279	0	0	0
92.0	8.348288	0	0	0
93.0	8.348296	0	0	0
94.0	8.348303	0	0	0
95.0	8.348309	0	0	0
96.0	8.348315	1	0	1
97.0	8.348319	0	0	0
98.0	8.348324	1	0	1
99.0	8.348327	0	0	0
100.0	8.348331	0	0	0
101.0	0	1	0	1

