# This file was produced by bcftools stats (1.24+htslib-1.24) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  results/variants/NIST7035_filtered_variants.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	results/variants/NIST7035_filtered_variants.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
#
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
#
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	283102
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	249261
SN	0	number of MNPs:	0
SN	0	number of indels:	33879
SN	0	number of others:	0
SN	0	number of multiallelic sites:	757
SN	0	number of multiallelic SNP sites:	60
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	149710	99611	1.50	149656	99518	1.50
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	72374	46949	25425	12558	0	0	12558
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	72374	46949	25425	12558	0	0	12558
AF	0	0.990000	176947	102761	74186	21859	0	0	21859
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30.2	0	0	0	24
QUAL	0	30.4	71	50	21	11
QUAL	0	30.5	1	0	1	0
QUAL	0	30.6	115	55	60	130
QUAL	0	30.7	1	1	0	0
QUAL	0	30.9	0	0	0	3
QUAL	0	31.2	0	0	0	3
QUAL	0	31.3	9	4	5	0
QUAL	0	31.4	108	65	43	2
QUAL	0	31.6	345	163	182	136
QUAL	0	31.8	0	0	0	1
QUAL	0	31.9	1	0	1	0
QUAL	0	32.0	1	1	0	0
QUAL	0	32.2	1	0	1	69
QUAL	0	32.3	10	5	5	0
QUAL	0	32.4	141	94	47	1
QUAL	0	32.5	0	0	0	2
QUAL	0	32.6	5103	1797	3306	110
QUAL	0	32.9	2	1	1	5
QUAL	0	33.0	1	0	1	1
QUAL	0	33.1	0	0	0	1
QUAL	0	33.3	8	6	2	0
QUAL	0	33.4	74	40	34	3
QUAL	0	33.6	93	37	56	140
QUAL	0	33.9	24	12	12	5
QUAL	0	34.0	0	0	0	1
QUAL	0	34.1	2	0	2	0
QUAL	0	34.2	2	2	0	72
QUAL	0	34.3	6	3	3	0
QUAL	0	34.4	23	14	9	8
QUAL	0	34.5	0	0	0	3
QUAL	0	34.6	131	67	64	107
QUAL	0	35.1	2	0	2	0
QUAL	0	35.2	0	0	0	61
QUAL	0	35.3	114	70	44	1
QUAL	0	35.4	1899	997	902	368
QUAL	0	35.6	116	63	53	113
QUAL	0	35.7	1	0	1	1
QUAL	0	35.8	3	0	3	0
QUAL	0	35.9	1	1	0	2
QUAL	0	36.1	5	1	4	0
QUAL	0	36.2	0	0	0	21
QUAL	0	36.3	107	46	61	0
QUAL	0	36.5	0	0	0	2
QUAL	0	36.6	132	66	66	146
QUAL	0	36.8	0	0	0	2
QUAL	0	36.9	1	0	1	9
QUAL	0	37.2	0	0	0	427
QUAL	0	37.3	101050	52579	48471	0
QUAL	0	37.5	0	0	0	1
QUAL	0	37.6	191	106	85	139
QUAL	0	37.7	1	0	1	0
QUAL	0	37.8	1	0	1	1
QUAL	0	37.9	0	0	0	3
QUAL	0	38.2	0	0	0	161
QUAL	0	38.3	10	5	5	0
QUAL	0	38.5	0	0	0	1
QUAL	0	38.6	115	63	52	73
QUAL	0	38.7	0	0	0	1
QUAL	0	39.0	1	1	0	0
QUAL	0	39.2	1	1	0	36
QUAL	0	39.3	18	14	4	0
QUAL	0	39.5	0	0	0	1
QUAL	0	39.6	129	65	64	111
QUAL	0	39.7	1	0	1	0
