#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	3594453	39731063	15.959	1.42401	33.7	50.7
chr2	1	242193529	2416315	36365315	15.015	0.984841	33.6	54.2
chr3	1	198295559	1879392	28947057	14.5979	0.933973	33.7	58
chr4	1	190214555	1388434	25127330	13.21	0.720524	33.5	53.3
chr5	1	181538259	1717988	25393453	13.9879	0.934308	33.6	52.4
chr6	1	170805979	1616058	24992674	14.6322	0.934093	33.6	57.2
chr7	1	159345973	2007975	24161903	15.1632	1.24281	33.7	46.7
chr8	1	145138636	1823583	20706243	14.2665	1.23611	33.7	37.2
chr9	1	138394717	1635293	19564420	14.1367	1.16584	33.7	48
chr10	1	133797422	1408711	20423596	15.2646	1.0378	33.7	54.4
chr11	1	135086622	1816532	21902774	16.2139	1.32318	33.8	57.4
chr12	1	133275309	1663814	21377825	16.0403	1.23144	33.7	57.9
chr13	1	114364328	666436	13156276	11.5038	0.575874	33.5	57
chr14	1	107043718	986399	13782875	12.8759	0.909076	33.7	57.2
chr15	1	101991189	1383428	14700012	14.413	1.33955	33.7	45.8
chr16	1	90338345	1623888	14912082	16.5069	1.76374	33.8	46.9
chr17	1	83257441	1994886	16712378	20.0731	2.35632	33.9	53.4
chr18	1	80373285	556703	10724199	13.343	0.683813	33.5	56
chr19	1	58617616	1827192	13159605	22.4499	3.05177	33.9	56.9
chr20	1	64444167	835608	10956904	17.0022	1.27315	33.8	57.7
chr21	1	46709983	410969	5881440	12.5914	0.864963	33.7	50.6
chr22	1	50818468	867021	7491990	14.7427	1.67368	33.9	49.8
chrX	1	156040895	1450308	21229292	13.605	0.917668	33.6	53.3
chrY	1	57227415	13528	268980	0.470019	0.0197372	33.7	14.5
chrM	1	16569	16010	16569	100	93.3175	33.4	54.6
chr1_KI270706v1_random	1	175055	5159	53895	30.7875	2.94144	33.4	19.1
chr1_KI270707v1_random	1	32032	48	3002	9.37188	0.139829	33.5	23.9
chr1_KI270708v1_random	1	127682	659	18872	14.7805	0.512437	33.7	33.8
chr1_KI270709v1_random	1	66860	1594	24376	36.4583	2.29818	33	17.9
chr1_KI270710v1_random	1	40176	84	5491	13.6674	0.205994	33.4	30
chr1_KI270711v1_random	1	42210	20409	23534	55.7546	48.2791	33.9	16.8
chr1_KI270712v1_random	1	176043	1390	26080	14.8146	0.778225	33.8	7.11
chr1_KI270713v1_random	1	40745	12133	22313	54.7625	29.3596	33.9	22.5
chr1_KI270714v1_random	1	41717	1395	10063	24.1221	3.30817	34	26.3
chr2_KI270715v1_random	1	161471	172	12438	7.70293	0.100006	33.6	3.12
chr2_KI270716v1_random	1	153799	179	11810	7.67885	0.11069	33.6	5.77
chr3_GL000221v1_random	1	155397	7368	48645	31.3037	4.76157	33.3	10.3
chr4_GL000008v2_random	1	209709	5019	59785	28.5086	2.37089	33.3	20.6
chr5_GL000208v1_random	1	92689	114	8232	8.88131	0.117652	33.4	32
chr9_KI270717v1_random	1	40062	70	4597	11.4747	0.172882	33.7	5.26
chr9_KI270718v1_random	1	38054	889	8807	23.1434	2.29474	33.3	2.35
chr9_KI270719v1_random	1	176845	3657	27841	15.7432	2.03329	34	30.2
chr9_KI270720v1_random	1	39050	448	8998	23.0423	1.14241	33.2	38.5
chr11_KI270721v1_random	1	100316	1243	13897	13.8532	1.19735	34	3.44
chr14_GL000009v2_random	1	201709	5331	61157	30.3194	2.6382	33.3	10
chr14_GL000225v1_random	1	211173	5656	89805	42.5267	2.39636	34	26.3
chr14_KI270722v1_random	1	194050	516	22437	11.5625	0.259588	33.4	35
chr14_GL000194v1_random	1	191469	3259	36687	19.1608	1.68325	34.2	26.2
chr14_KI270723v1_random	1	38115	730	9283	24.3552	1.79428	34.2	25.7
chr14_KI270724v1_random	1	39555	334	8508	21.5093	0.77664	34.1	33.8
chr14_KI270725v1_random	1	172810	603	17970	10.3987	0.346838	33.5	16.2
chr14_KI270726v1_random	1	43739	198	1932	4.41711	0.44514	33.9	12.8
chr15_KI270727v1_random	1	448248	5935	53371	11.9066	1.31971	33.5	4.26
chr16_KI270728v1_random	1	1872759	22884	254192	13.5731	1.20615	33.7	11.1
